Katie,White,Bahrain,45,6750000,5331881049,2.8
Gene,Rodriguez,Haiti,35,8520000,001-782-710-2248,9.4
Steven,Lee,Spain,17,5690000,(067)181-3647,9.6
Ana,Clayton,Papua New Guinea,17,9970000,678.823.1131x739,2.5
Lauren,Peters,Mauritius,32,1370000,+1-679-762-8329,7.8
Jose,Dudley,Guyana,21,1440000,431.268.2502x372,4.6
Jacob,Schultz,Mali,26,9360000,+1-914-466-7696x5511,3.8
Jennifer,Mccarty,Sierra Leone,33,7860000,(657)683-1832x8093,4.5
Robert,Jackson,United States Minor Outlying Islands,26,2010000,182-048-3352x71983,8.5
Karen,Simmons,Saint Pierre and Miquelon,44,3970000,159-592-1108,4.5
John,Johnson,Austria,25,4600000,(115)672-5608,9.5
Michael,Barnes,Belgium,31,6900000,776.062.0398x819,7.1
Jennifer,Newman,Cote d'Ivoire,36,7300000,164.024.4568,6.2
Sean,Sullivan,Guadeloupe,36,2500000,956.826.5575,3.4
Kim,Franklin,South Georgia and the South Sandwich Islands,32,2480000,+1-262-421-2552x42771,3.6
James,Franco,Djibouti,27,8340000,001-031-331-8931,1.5
Michael,Cruz,Papua New Guinea,27,4450000,(107)363-5084,9.7
Sarah,Chapman,Christmas Island,34,4540000,1081328538,6.2
Christopher,Morrison,Comoros,33,9230000,385.536.0375,3.8
Robin,Stanley,Jersey,38,4600000,9227456926,1.0
Patricia,Harris,Vietnam,45,5740000,780-176-7095,1.9
Randy,Choi,Liberia,20,1730000,949.133.9440,9.6
Christopher,Townsend,Pitcairn Islands,28,9390000,+1-465-911-3663x7351,1.1
Michelle,Moore,Cook Islands,38,6320000,718.665.8846x7462,3.7
Adam,Vargas,Jordan,34,270000,309-087-0152x497,5.6
Danny,Sanders,Tonga,45,6560000,905.784.3963,8.9
Sandra,Hancock,Philippines,19,1690000,(560)761-6272x36069,4.3
Nicholas,Perry,Libyan Arab Jamahiriya,22,8680000,677.558.7569x1527,8.2
Jay,Blackwell,Chile,25,9310000,3760472830,5.2
Luke,Austin,Bolivia,38,4180000,759.574.1957,9.9
Ricky,Brewer,Svalbard & Jan Mayen Islands,21,5100000,816-074-4147x326,5.4
Carly,Price,Mexico,32,3870000,001-246-315-8405,6.3
Richard,Richardson,Saint Pierre and Miquelon,35,4470000,001-340-114-4612,4.1
Richard,Kim,Japan,21,210000,001-713-755-2874,5.3
Johnny,Bryant,Taiwan,22,9240000,+1-964-860-4115x06451,1.8
Karen,Nelson,Andorra,37,9070000,001-310-624-9545x9258,2.3
Christian,Gomez,Kiribati,29,1960000,871-295-8328,5.8
Timothy,Hines,Wallis and Futuna,35,2020000,642-744-2042x2632,2.6
Alice,Young,Anguilla,29,6520000,843.565.9876x4112,3.8
Elizabeth,Daniel,French Guiana,33,7940000,+1-961-543-0512,5.6
Aaron,Reynolds,Nauru,43,1760000,(188)372-1028x81491,9.6
Jasmine,Raymond,Malta,17,9430000,(692)528-8414x41004,2.6
Jesus,Norton,Vanuatu,18,6970000,+1-249-388-3186x734,7.0
Sabrina,Jenkins,Egypt,20,9800000,360-171-6269,5.6
Sandra,Brown,Cuba,38,9010000,360.164.8455x2403,8.4
Andrew,Pierce,Vietnam,17,2360000,001-731-612-2036x836,7.5
Brian,Pierce,Turkmenistan,40,4500000,(476)230-8553x63243,3.1
Emily,French,Bolivia,30,9840000,5425907574,8.3
Michelle,Duncan,Norway,30,9430000,+1-544-185-8149x265,8.7
Rebekah,Andrews,Portugal,28,6910000,+1-627-274-9874x83976,5.0
Ryan,Banks,Kazakhstan,20,3390000,001-925-004-4009x66879,5.4
Keith,Hancock,Bouvet Island (Bouvetoya),33,9680000,(116)417-6794x1675,10.0
